process_id,temperature_raw,temperature_c,time_raw,time_hours
398f04d815c16a069b613ec8be09b82f-p1,2 c,2.0,20min,20min
39bcd38bde8ee712bcee56ab5b558e86-p1,3c,3.0,5 min,5 min
39bcd38bde8ee712bcee56ab5b558e86-p2,,,30 min,0.5
39bcd38bde8ee712bcee56ab5b558e86-p3,,,30 min,0.5
3a336bcc09186843992e13637b32331f-p1,1 c,1.0,30 min,0.5
3a93c0f94c7f4a1fda41a23f98c8b56a-p1,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p2,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p3,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p4,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p5,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p6,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p7,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p8,,,,
3a93c0f94c7f4a1fda41a23f98c8b56a-p9,,,,
3b44ed34f3f68037253edf338d417bf3-p1,,,,
3b44ed34f3f68037253edf338d417bf3-p2,,,,
3b44ed34f3f68037253edf338d417bf3-p3,4 c,4.0,,
3bcf88c4b556be1fef5573bc13369fdd-p1,2c,2.0,10 min,10 min
3ca78e03a506e39791a6272924bd75dc-p1,,,,
3ca78e03a506e39791a6272924bd75dc-p2,2 c,2.0,,
3ca78e03a506e39791a6272924bd75dc-p3,,,,
3ca78e03a506e39791a6272924bd75dc-p4,,,,
3ca78e03a506e39791a6272924bd75dc-p5,2 c,2.0,,
3ca78e03a506e39791a6272924bd75dc-p6,,,,
3ca78e03a506e39791a6272924bd75dc-p7,2 c,2.0,,
3ca78e03a506e39791a6272924bd75dc-p8,80 c,80.0,,
3ca78e03a506e39791a6272924bd75dc-p9,,,,
3ce858bd211afdc931d1a71d5304a5fb-p1,1 c,1.0,30 min,0.5
3d64aeaa0148e39157e0e08f988e51af-p1,660c,660.0,30 min,0.5
3d6767a25bb80f63ebc7da5d0c1215b1-p1,9 c,9.0,20 min,20 min
3d841fb7bacdfd27e4a833bacb573a8a-p1,,,,
3d841fb7bacdfd27e4a833bacb573a8a-p2,1 c,1.0,10 min,10 min
3d841fb7bacdfd27e4a833bacb573a8a-p3,920 c,920.0,20 min,20 min
3df6a2e9593dcc247daace6df5dfe2a7-p1,080 c,80.0,,
3df6a2e9593dcc247daace6df5dfe2a7-p2,,,,
3df6a2e9593dcc247daace6df5dfe2a7-p3,,,,
3df6a2e9593dcc247daace6df5dfe2a7-p4,,,,
3df6a2e9593dcc247daace6df5dfe2a7-p5,111 c,111.0,,
3df6a2e9593dcc247daace6df5dfe2a7-p6,,,,
3e3d7841113967c95928e8835ed389f5-p1,,,,
3e9a6fb4c8d2a7533d8582f65a7cfcc2-p1,80 c,80.0,,
